Query	Taxid	Tax name	Authority	Rank	Basionym	Basionym authority	Curator common name	Has type material	Group name	Superkingdom name	Superkingdom taxid	Kingdom name	Kingdom taxid	Phylum name	Phylum taxid	Class name	Class taxid	Order name	Order taxid	Family name	Family taxid	Genus name	Genus taxid	Species name	Species taxid	Scientific name is formal
381411	381411	Bryopsis pennata	J.V.Lamour.	SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Ulvophyceae	33103	Bryopsidales	33104	Bryopsidaceae	3127	Bryopsis	3128	Bryopsis pennata	381411	TRUE
381412	381412	Avrainvillea mazei	G.Murray & Boodle	SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Ulvophyceae	33103	Bryopsidales	33104	Dichotomosiphonaceae	35433	Avrainvillea	336841	Avrainvillea mazei	381412	TRUE
381413	381413	Avrainvillea nigricans	Decne.	SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Ulvophyceae	33103	Bryopsidales	33104	Dichotomosiphonaceae	35433	Avrainvillea	336841	Avrainvillea nigricans	381413	TRUE
381414	381414	Boodleopsis	A.Gepp & E.S.Gepp, 1911	GENUS				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Ulvophyceae	33103	Bryopsidales	33104	Halimedaceae	379500	Boodleopsis	381414			TRUE
381415	381415	Boodleopsis pusilla	(Collins) W.R.Taylor, A.B.Joly & Bernat.	SPECIES	Dichotomosiphon pusillus	Collins, 1909		no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Ulvophyceae	33103	Bryopsidales	33104	Halimedaceae	379500	Boodleopsis	381414	Boodleopsis pusilla	381415	TRUE
381416	381416	Cladocephalus	M.Howe, 1905	GENUS				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Ulvophyceae	33103	Bryopsidales	33104	Dichotomosiphonaceae	35433	Cladocephalus	381416			TRUE
381417	381417	Cladocephalus luteofuscus	(P.Crouan & H.Crouan) Boergesen	SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Ulvophyceae	33103	Bryopsidales	33104	Dichotomosiphonaceae	35433	Cladocephalus	381416	Cladocephalus luteofuscus	381417	TRUE
381418	381418	Penicillus lamourouxii	Decne.	SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Ulvophyceae	33103	Bryopsidales	33104	Halimedaceae	379500	Penicillus	170434	Penicillus lamourouxii	381418	TRUE
381419	381419	Rhipocephalus oblongus	(Decne.) Kuetzing	SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Ulvophyceae	33103	Bryopsidales	33104	Halimedaceae	379500	Rhipocephalus	189437	Rhipocephalus oblongus	381419	TRUE
381755	381755	Diplosphaera	Bialosuknia, 1909	GENUS				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Trebouxiophyceae	75966	Prasiolales	135250	Stichococcaceae	2910630	Diplosphaera	381755			TRUE
381756	381756	Diplosphaera mucosa	Broady	SPECIES				yes	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Trebouxiophyceae	75966	Prasiolales	135250	Stichococcaceae	2910630	Diplosphaera	381755	Diplosphaera mucosa	381756	TRUE
381758	381758	Uvulifera verrucariae	(Chodat) Molinari, 2016	SPECIES	Coccobotrys verrucariae	Chodat, 1913		yes	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Chlorophyceae	3166	Chaetophorales	31299	Chaetophoraceae	33093	Uvulifera	3075449	Uvulifera verrucariae	381758	TRUE
381760	381760	Elliptochloris	Tscherm.-Woess	GENUS				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Trebouxiophyceae	75966					Elliptochloris	381760			TRUE
381761	381761	Elliptochloris bilobata	Tscherm.-Woess	SPECIES				yes	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Trebouxiophyceae	75966					Elliptochloris	381760	Elliptochloris bilobata	381761	TRUE
381762	381762	Auxenochlorella sp. P-1015		SPECIES				no	green algae	Eukaryota	2759	Viridiplantae	33090	Chlorophyta	3041	Trebouxiophyceae	75966	Chlorellales	35460	Chlorellaceae	35461	Auxenochlorella	191392	Auxenochlorella sp. P-1015	381762	FALSE
